"","x"
"cell595","CD34+CD45RA-CLEC12A-"
"cell596","CD34+CD45RA-CLEC12A-"
"cell597","CD34+CD45RA-CLEC12A-"
"cell598","CD34+CD45RA-CLEC12A-"
"cell599","CD34+CD45RA-CLEC12A-"
"cell600","CD34+CD45RA-CLEC12A-"
"cell601","CD34+CD45RA+CLEC12A-"
"cell602","CD34+CD45RA+CLEC12A-"
"cell603","CD34+CD45RA+CLEC12A-"
"cell604","CD34+CD45RA-CLEC12A-"
"cell605","CD34+CD45RA-CLEC12A-"
"cell606","CD34+CD45RA-CLEC12A-"
"cell607","CD34+CD45RA+CLEC12A-"
"cell608","CD34+CD45RA-CLEC12A-"
"cell609","CD34+CD45RA-CLEC12A-"
"cell610","CD34+CD45RA-CLEC12A-"
"cell612","CD34+CD45RA-CLEC12A-"
"cell613","CD34+CD45RA+CLEC12A-"
"cell614","CD34+CD45RA-CLEC12A+"
"cell615","CD34+CD45RA+CLEC12A-"
"cell616","CD34+CD45RA-CLEC12A-"
"cell617","CD34+CD45RA-CLEC12A-"
"cell618","CD34+CD45RA-CLEC12A-"
"cell619","CD34+CD45RA-CLEC12A+"
"cell620","CD34+CD45RA-CLEC12A-"
"cell621","CD34+CD45RA-CLEC12A-"
"cell622","CD34+CD45RA+CLEC12A-"
"cell623","CD34+CD45RA+CLEC12A-"
"cell624","CD34+CD45RA-CLEC12A+"
"cell625","CD34+CD45RA+CLEC12A-"
"cell626","CD34+CD45RA-CLEC12A-"
"cell627","CD34+CD45RA-CLEC12A-"
"cell628","CD34+CD45RA-CLEC12A-"
"cell629","CD34+CD45RA-CLEC12A-"
"cell630","CD34+CD45RA-CLEC12A-"
"cell631","CD34+CD45RA-CLEC12A+"
"cell632","CD34+CD45RA+CLEC12A-"
"cell633","CD34+CD45RA-CLEC12A-"
"cell634","CD34+CD45RA-CLEC12A-"
"cell636","CD34+CD45RA-CLEC12A+"
"cell638","CD34+CD45RA-CLEC12A-"
"cell639","CD34+CD45RA-CLEC12A-"
"cell640","CD34+CD45RA-CLEC12A-"
"cell641","CD34+CD45RA+CLEC12A-"
"cell642","CD34+CD45RA-CLEC12A-"
"cell643","CD34+CD45RA-CLEC12A-"
"cell644","CD34+CD45RA-CLEC12A-"
"cell645","CD34+CD45RA-CLEC12A-"
"cell646","CD34+CD45RA-CLEC12A-"
"cell647","CD34+CD45RA-CLEC12A-"
"cell648","CD34+CD45RA-CLEC12A-"
"cell649","CD34+CD45RA-CLEC12A-"
"cell650","CD34+CD45RA-CLEC12A-"
"cell651","CD34+CD45RA+CLEC12A-"
"cell652","CD34+CD45RA+CLEC12A-"
"cell653","CD34+CD45RA-CLEC12A-"
"cell655","CD34+CD45RA-CLEC12A-"
"cell656","CD34+CD45RA-CLEC12A-"
"cell657","CD34+CD45RA-CLEC12A-"
"cell658","CD34+CD45RA+CLEC12A+"
"cell659","CD34+CD45RA+CLEC12A-"
"cell660","CD34+CD45RA-CLEC12A-"
"cell661","CD34+CD45RA+CLEC12A-"
"cell662","CD34+CD45RA-CLEC12A+"
"cell663","CD34+CD45RA-CLEC12A-"
"cell664","CD34+CD45RA-CLEC12A-"
"cell665","CD34+CD45RA-CLEC12A-"
"cell666","CD34+CD45RA-CLEC12A+"
"cell667","CD34+CD45RA-CLEC12A+"
"cell668","CD34+CD45RA-CLEC12A-"
"cell669","CD34+CD45RA-CLEC12A-"
"cell670","CD34+CD45RA+CLEC12A-"
"cell671","CD34+CD45RA+CLEC12A-"
"cell672","CD34+CD45RA+CLEC12A-"
"cell673","CD34+CD45RA-CLEC12A-"
"cell674","CD34+CD45RA-CLEC12A-"
"cell675","CD34+CD45RA+CLEC12A-"
"cell676","CD34+CD45RA+CLEC12A-"
"cell677","CD34+CD45RA-CLEC12A-"
"cell678","CD34+CD45RA-CLEC12A+"
"cell680","CD34+CD45RA-CLEC12A-"
"cell681","CD34+CD45RA+CLEC12A-"
"cell682","CD34+CD45RA-CLEC12A-"
"cell683","CD34+CD45RA-CLEC12A+"
"cell684","CD34+CD45RA-CLEC12A-"
"cell686","CD34+CD45RA-CLEC12A-"
"cell687","CD34+CD45RA-CLEC12A-"
"cell688","CD34+CD45RA+CLEC12A+"
"cell689","CD34+CD45RA-CLEC12A-"
"cell690","CD34+CD45RA-CLEC12A-"
"cell691","CD34+CD45RA-CLEC12A-"
"cell692","CD34+CD45RA-CLEC12A-"
"cell693","CD34+CD45RA-CLEC12A+"
"cell694","CD34+CD45RA-CLEC12A+"
"cell695","CD34+CD45RA-CLEC12A+"
"cell696","CD34+CD45RA-CLEC12A-"
"cell697","CD34+CD45RA+CLEC12A-"
"cell698","CD34+CD45RA-CLEC12A-"
"cell699","CD34+CD45RA+CLEC12A-"
"cell700","CD34+CD45RA-CLEC12A+"
"cell701","CD34+CD45RA-CLEC12A-"
"cell702","CD34+CD45RA-CLEC12A+"
"cell703","CD34+CD45RA-CLEC12A-"
"cell704","CD34+CD45RA-CLEC12A-"
"cell705","CD34+CD45RA-CLEC12A-"
"cell706","CD34+CD45RA+CLEC12A+"
"cell707","CD34+CD45RA-CLEC12A+"
"cell708","CD34+CD45RA-CLEC12A-"
"cell709","CD34+CD45RA-CLEC12A+"
"cell710","CD34+CD45RA+CLEC12A-"
"cell711","CD34+CD45RA-CLEC12A-"
"cell712","CD34+CD45RA+CLEC12A-"
"cell713","CD34+CD45RA-CLEC12A+"
"cell714","CD34+CD45RA-CLEC12A-"
"cell715","CD34+CD45RA-CLEC12A-"
"cell716","CD34+CD45RA-CLEC12A-"
"cell717","CD34+CD45RA-CLEC12A+"
"cell718","CD34+CD45RA-CLEC12A-"
"cell719","CD34+CD45RA-CLEC12A-"
"cell720","CD34+CD45RA+CLEC12A-"
"cell721","CD34+CD45RA+CLEC12A-"
"cell722","CD34+CD45RA+CLEC12A-"
"cell723","CD34+CD45RA-CLEC12A-"
"cell724","CD34+CD45RA-CLEC12A-"
"cell725","CD34+CD45RA-CLEC12A+"
"cell726","CD34+CD45RA-CLEC12A-"
"cell727","CD34+CD45RA+CLEC12A-"
"cell728","CD34+CD45RA-CLEC12A-"
"cell729","CD34+CD45RA-CLEC12A-"
"cell730","CD34+CD45RA-CLEC12A-"
"cell731","CD34+CD45RA+CLEC12A-"
"cell732","CD34+CD45RA-CLEC12A+"
"cell733","CD34+CD45RA-CLEC12A-"
"cell734","CD34+CD45RA+CLEC12A-"
"cell735","CD34+CD45RA-CLEC12A-"
"cell736","CD34+CD45RA-CLEC12A-"
"cell737","CD34+CD45RA-CLEC12A-"
"cell738","CD34+CD45RA-CLEC12A-"
"cell739","CD34+CD45RA-CLEC12A-"
"cell740","CD34+CD45RA-CLEC12A+"
"cell741","CD34+CD45RA-CLEC12A-"
"cell742","CD34+CD45RA+CLEC12A-"
"cell743","CD34+CD45RA-CLEC12A-"
"cell744","CD34+CD45RA-CLEC12A-"
"cell745","CD34+CD45RA-CLEC12A-"
"cell746","CD34+CD45RA-CLEC12A-"
"cell747","CD34+CD45RA-CLEC12A-"
"cell748","CD34+CD45RA-CLEC12A-"
"cell749","CD34+CD45RA-CLEC12A-"
"cell750","CD34+CD45RA-CLEC12A-"
"cell751","CD34+CD45RA-CLEC12A-"
"cell752","CD34+CD45RA-CLEC12A-"
"cell753","CD34+CD45RA-CLEC12A-"
"cell754","CD34+CD45RA-CLEC12A-"
"cell755","CD34+CD45RA+CLEC12A-"
"cell756","CD34+CD45RA+CLEC12A-"
"cell757","CD34+CD45RA-CLEC12A-"
"cell758","CD34+CD45RA+CLEC12A-"
"cell759","CD34+CD45RA-CLEC12A+"
"cell760","CD34+CD45RA-CLEC12A-"
"cell761","CD34+CD45RA-CLEC12A-"
"cell762","CD34+CD45RA-CLEC12A-"
"cell763","CD34+CD45RA+CLEC12A-"
"cell764","CD34+CD45RA-CLEC12A-"
"cell765","CD34+CD45RA-CLEC12A-"
"cell766","CD34+CD45RA-CLEC12A-"
"cell767","CD34+CD45RA+CLEC12A-"
"cell768","CD34+CD45RA-CLEC12A-"
"cell769","CD34+CD45RA-CLEC12A-"
"cell770","CD34+CD45RA+CLEC12A-"
"cell771","CD34+CD45RA-CLEC12A-"
"cell772","CD34+CD45RA-CLEC12A-"
"cell773","CD34+CD45RA+CLEC12A-"
"cell774","CD34+CD45RA-CLEC12A-"
"cell775","CD34+CD45RA-CLEC12A-"
"cell776","CD34+CD45RA-CLEC12A-"
"cell777","CD34+CD45RA-CLEC12A+"
"cell778","CD34+CD45RA-CLEC12A-"
"cell779","CD34+CD45RA-CLEC12A-"
"cell780","CD34+CD45RA+CLEC12A+"
"cell781","CD34+CD45RA-CLEC12A-"
"cell782","CD34+CD45RA-CLEC12A-"
"cell783","CD34+CD45RA-CLEC12A-"
"cell784","CD34+CD45RA-CLEC12A+"
"cell785","CD34+CD45RA-CLEC12A-"
"cell786","CD34+CD45RA-CLEC12A-"
"cell787","CD34+CD45RA-CLEC12A-"
"cell788","CD34+CD45RA+CLEC12A-"
"cell789","CD34+CD45RA-CLEC12A+"
"cell790","CD34+CD45RA-CLEC12A+"
"cell791","CD34+CD45RA-CLEC12A-"
"cell792","CD34+CD45RA-CLEC12A-"
"cell793","CD34+CD45RA+CLEC12A-"
"cell794","CD34+CD45RA-CLEC12A-"
"cell795","CD34+CD45RA-CLEC12A-"
"cell796","CD34+CD45RA-CLEC12A-"
"cell797","CD34+CD45RA-CLEC12A-"
"cell798","CD34+CD45RA-CLEC12A+"
"cell799","CD34+CD45RA-CLEC12A-"
"cell800","CD34+CD45RA-CLEC12A-"
"cell801","CD34+CD45RA-CLEC12A-"
"cell802","CD34+CD45RA-CLEC12A-"
"cell803","CD34+CD45RA+CLEC12A-"
"cell804","CD34+CD45RA+CLEC12A-"
"cell805","CD34+CD45RA-CLEC12A-"
"cell806","CD34+CD45RA-CLEC12A-"
"cell807","CD34+CD45RA-CLEC12A+"
"cell808","CD34+CD45RA-CLEC12A-"
"cell809","CD34+CD45RA-CLEC12A-"
"cell810","CD34+CD45RA+CLEC12A-"
"cell811","CD34+CD45RA-CLEC12A-"
"cell812","CD34+CD45RA-CLEC12A-"
"cell813","CD34+CD45RA-CLEC12A-"
"cell814","CD34+CD45RA-CLEC12A-"
"cell815","CD34+CD45RA+CLEC12A-"
"cell816","CD34+CD45RA-CLEC12A-"
"cell817","CD34+CD45RA-CLEC12A-"
"cell818","CD34+CD45RA-CLEC12A+"
"cell819","CD34+CD45RA-CLEC12A-"
"cell820","CD34+CD45RA-CLEC12A+"
"cell821","CD34+CD45RA+CLEC12A-"
"cell822","CD34+CD45RA-CLEC12A-"
"cell823","CD34+CD45RA-CLEC12A-"
"cell824","CD34+CD45RA-CLEC12A-"
"cell825","CD34+CD45RA-CLEC12A-"
"cell826","CD34+CD45RA-CLEC12A-"
"cell827","CD34+CD45RA-CLEC12A-"
"cell828","CD34+CD45RA-CLEC12A-"
"cell829","CD34+CD45RA-CLEC12A-"
"cell831","CD34+CD45RA-CLEC12A-"
"cell832","CD34+CD45RA-CLEC12A-"
"cell833","CD34+CD45RA-CLEC12A-"
"cell834","CD34+CD45RA-CLEC12A-"
"cell835","CD34+CD45RA-CLEC12A-"
"cell836","CD34+CD45RA+CLEC12A-"
"cell837","CD34+CD45RA+CLEC12A-"
"cell838","CD34+CD45RA-CLEC12A-"
"cell839","CD34+CD45RA-CLEC12A-"
"cell840","CD34+CD45RA-CLEC12A-"
"cell841","CD34+CD45RA-CLEC12A-"
"cell842","CD34+CD45RA-CLEC12A-"
"cell843","CD34+CD45RA-CLEC12A+"
"cell844","CD34+CD45RA+CLEC12A-"
"cell845","CD34+CD45RA-CLEC12A-"
"cell846","CD34+CD45RA-CLEC12A-"
"cell847","CD34+CD45RA-CLEC12A-"
"cell848","CD34+CD45RA-CLEC12A+"
"cell849","CD34+CD45RA+CLEC12A-"
"cell850","CD34+CD45RA-CLEC12A-"
"cell851","CD34+CD45RA-CLEC12A-"
"cell853","CD34+CD45RA-CLEC12A-"
"cell854","CD34+CD45RA-CLEC12A-"
"cell855","CD34+CD45RA-CLEC12A-"
"cell856","CD34+CD45RA-CLEC12A-"
"cell857","CD34+CD45RA+CLEC12A-"
"cell858","CD34+CD45RA-CLEC12A-"
"cell859","CD34+CD45RA+CLEC12A-"
"cell860","CD34+CD45RA-CLEC12A-"
"cell861","CD34+CD45RA-CLEC12A-"
"cell862","CD34+CD45RA-CLEC12A-"
"cell863","CD34+CD45RA-CLEC12A+"
"cell864","CD34+CD45RA+CLEC12A-"
"cell865","CD34+CD45RA-CLEC12A-"
"cell866","CD34+CD45RA-CLEC12A-"
"cell867","CD34+CD45RA-CLEC12A-"
"cell868","CD34+CD45RA-CLEC12A-"
"cell869","CD34+CD45RA-CLEC12A+"
"cell870","CD34+CD45RA-CLEC12A-"
"cell871","CD34+CD45RA+CLEC12A-"
"cell872","CD34+CD45RA+CLEC12A-"
"cell873","CD34+CD45RA-CLEC12A-"
"cell874","CD34+CD45RA+CLEC12A-"
"cell875","CD34+CD45RA-CLEC12A+"
"cell876","CD34+CD45RA-CLEC12A-"
"cell878","CD34+CD45RA-CLEC12A+"
"cell879","CD34+CD45RA-CLEC12A+"
"cell880","CD34+CD45RA+CLEC12A-"
"cell881","CD34+CD45RA-CLEC12A-"
"cell882","CD34+CD45RA-CLEC12A-"
"cell883","CD34+CD45RA+CLEC12A-"
"cell884","CD34+CD45RA-CLEC12A+"
"cell885","CD34+CD45RA+CLEC12A+"
"cell886","CD34+CD45RA-CLEC12A+"
"cell887","CD34+CD45RA+CLEC12A-"
"cell888","CD34+CD45RA-CLEC12A-"
"cell889","CD34+CD45RA-CLEC12A-"
"cell890","CD34+CD45RA-CLEC12A+"
"cell892","CD34+CD45RA-CLEC12A+"
"cell893","CD34+CD45RA-CLEC12A-"
"cell894","CD34+CD45RA-CLEC12A-"
"cell895","CD34+CD45RA-CLEC12A-"
"cell896","CD34+CD45RA+CLEC12A-"
"cell897","CD34+CD45RA-CLEC12A+"
"cell898","CD34+CD45RA-CLEC12A-"
"cell899","CD34+CD45RA+CLEC12A-"
"cell900","CD34+CD45RA-CLEC12A-"
"cell901","CD34+CD45RA-CLEC12A-"
"cell902","CD34+CD45RA+CLEC12A-"
"cell903","CD34+CD45RA-CLEC12A-"
"cell905","CD34+CD45RA+CLEC12A-"
"cell906","CD34+CD45RA-CLEC12A-"
"cell907","CD34+CD45RA-CLEC12A+"
"cell908","CD34+CD45RA-CLEC12A+"
"cell909","CD34+CD45RA-CLEC12A-"
"cell910","CD34+CD45RA-CLEC12A-"
"cell911","CD34+CD45RA-CLEC12A-"
"cell912","CD34+CD45RA+CLEC12A+"
"cell913","CD34+CD45RA-CLEC12A-"
"cell914","CD34+CD45RA-CLEC12A-"
"cell915","CD34+CD45RA-CLEC12A-"
"cell916","CD34+CD45RA-CLEC12A-"
"cell917","CD34+CD45RA-CLEC12A-"
"cell918","CD34+CD45RA-CLEC12A-"
"cell919","CD34+CD45RA-CLEC12A-"
"cell920","CD34+CD45RA-CLEC12A-"
"cell921","CD34+CD45RA+CLEC12A-"
"cell922","CD34+CD45RA+CLEC12A-"
"cell923","CD34+CD45RA-CLEC12A-"
"cell924","CD34+CD45RA-CLEC12A-"
"cell925","CD34+CD45RA-CLEC12A+"
"cell926","CD34+CD45RA+CLEC12A-"
"cell927","CD34+CD45RA-CLEC12A-"
"cell928","CD34+CD45RA-CLEC12A-"
"cell929","CD34+CD45RA-CLEC12A-"
"cell930","CD34+CD45RA-CLEC12A-"
"cell931","CD34+CD45RA-CLEC12A-"
"cell932","CD34+CD45RA-CLEC12A-"
"cell933","CD34+CD45RA-CLEC12A-"
"cell934","CD34+CD45RA+CLEC12A-"
"cell935","CD34+CD45RA-CLEC12A-"
"cell936","CD34+CD45RA-CLEC12A-"
"cell937","CD34+CD45RA-CLEC12A-"
"cell938","CD34+CD45RA-CLEC12A-"
"cell939","CD34+CD45RA+CLEC12A-"
"cell940","CD34+CD45RA-CLEC12A-"
"cell941","CD34+CD45RA-CLEC12A-"
"cell942","CD34+CD45RA-CLEC12A-"
"cell943","CD34+CD45RA-CLEC12A-"
"cell944","CD34+CD45RA-CLEC12A-"
"cell945","CD34+CD45RA+CLEC12A-"
"cell946","CD34+CD45RA-CLEC12A-"
"cell947","CD34+CD45RA-CLEC12A-"
"cell948","CD34+CD45RA+CLEC12A-"
"cell949","CD34+CD45RA-CLEC12A-"
"cell950","CD34+CD45RA-CLEC12A-"
"cell952","CD34+CD45RA-CLEC12A-"
"cell953","CD34+CD45RA-CLEC12A-"
"cell955","CD34+CD45RA-CLEC12A-"
"cell956","CD34+CD45RA-CLEC12A-"
"cell957","CD34+CD45RA-CLEC12A-"
"cell958","CD34+CD45RA-CLEC12A+"
"cell959","CD34+CD45RA-CLEC12A-"
"cell960","CD34+CD45RA-CLEC12A-"
"cell961","CD34+CD45RA-CLEC12A-"
"cell962","CD34+CD45RA+CLEC12A-"
"cell963","CD34+CD45RA-CLEC12A-"
"cell964","CD34+CD45RA-CLEC12A+"
"cell965","CD34+CD45RA+CLEC12A-"
"cell966","CD34+CD45RA-CLEC12A-"
"cell967","CD34+CD45RA-CLEC12A+"
"cell968","CD34+CD45RA-CLEC12A+"
"cell969","CD34+CD45RA-CLEC12A-"
"cell970","CD34+CD45RA-CLEC12A-"
"cell971","CD34+CD45RA-CLEC12A-"
"cell972","CD34+CD45RA+CLEC12A-"
"cell973","CD34+CD45RA-CLEC12A-"
"cell974","CD34+CD45RA-CLEC12A-"
"cell975","CD34+CD45RA-CLEC12A+"
"cell976","CD34+CD45RA+CLEC12A-"
"cell977","CD34+CD45RA-CLEC12A-"
"cell978","CD34+CD45RA-CLEC12A-"
"cell979","CD34+CD45RA-CLEC12A-"
"cell980","CD34+CD45RA+CLEC12A-"
"cell981","CD34+CD45RA-CLEC12A+"
"cell982","CD34+CD45RA-CLEC12A-"
"cell983","CD34+CD45RA+CLEC12A-"
"cell984","CD34+CD45RA-CLEC12A-"
"cell985","CD34+CD45RA-CLEC12A-"
"cell986","CD34+CD45RA+CLEC12A+"
"cell987","CD34+CD45RA-CLEC12A-"
"cell988","CD34+CD45RA-CLEC12A-"
"cell989","CD34+CD45RA-CLEC12A-"
"cell991","CD34+CD45RA-CLEC12A-"
"cell992","CD34+CD45RA-CLEC12A-"
"cell993","CD34+CD45RA+CLEC12A-"
"cell994","CD34+CD45RA-CLEC12A-"
"cell995","CD34+CD45RA-CLEC12A-"
"cell996","CD34+CD45RA+CLEC12A-"
"cell997","CD34+CD45RA-CLEC12A-"
"cell998","CD34+CD45RA-CLEC12A-"
"cell999","CD34+CD45RA-CLEC12A-"
"cell1000","CD34+CD45RA+CLEC12A-"
"cell1001","CD34+CD45RA-CLEC12A-"
"cell1002","CD34+CD45RA-CLEC12A+"
"cell1003","CD34+CD45RA-CLEC12A-"
"cell1004","CD34+CD45RA+CLEC12A-"
"cell1006","CD34+CD45RA-CLEC12A-"
"cell1007","CD34+CD45RA-CLEC12A-"
"cell1008","CD34+CD45RA-CLEC12A-"
"cell1009","CD34+CD45RA-CLEC12A+"
"cell1010","CD34+CD45RA-CLEC12A-"
"cell1011","CD34+CD45RA-CLEC12A-"
"cell1012","CD34+CD45RA+CLEC12A-"
"cell1013","CD34+CD45RA-CLEC12A-"
"cell1014","CD34+CD45RA-CLEC12A-"
"cell1015","CD34+CD45RA-CLEC12A-"
"cell1016","CD34+CD45RA+CLEC12A-"
"cell1017","CD34+CD45RA-CLEC12A-"
"cell1018","CD34+CD45RA-CLEC12A-"
"cell1019","CD34+CD45RA-CLEC12A-"
"cell1020","CD34+CD45RA-CLEC12A-"
"cell1021","CD34+CD45RA-CLEC12A-"
"cell1022","CD34+CD45RA-CLEC12A-"
"cell1023","CD34+CD45RA-CLEC12A-"
"cell1024","CD34+CD45RA-CLEC12A+"
"cell1025","CD34+CD45RA-CLEC12A+"
"cell1027","CD34+CD45RA-CLEC12A-"
"cell1028","CD34+CD45RA-CLEC12A-"
"cell1029","CD34+CD45RA-CLEC12A-"
"cell1030","CD34+CD45RA-CLEC12A-"
"cell1031","CD34+CD45RA-CLEC12A+"
"cell1032","CD34+CD45RA-CLEC12A-"
"cell1033","CD34+CD45RA-CLEC12A+"
"cell1034","CD34+CD45RA-CLEC12A-"
"cell1035","CD34+CD45RA-CLEC12A+"
"cell1036","CD34+CD45RA-CLEC12A+"
"cell1037","CD34+CD45RA-CLEC12A-"
"cell1038","CD34+CD45RA-CLEC12A+"
"cell1039","CD34+CD45RA-CLEC12A-"
"cell1040","CD34+CD45RA-CLEC12A+"
"cell1041","CD34+CD45RA-CLEC12A-"
"cell1042","CD34+CD45RA-CLEC12A-"
"cell1043","CD34+CD45RA-CLEC12A-"
"cell1044","CD34+CD45RA+CLEC12A-"
"cell1045","CD34+CD45RA-CLEC12A-"
"cell1046","CD34+CD45RA+CLEC12A-"
"cell1048","CD34+CD45RA+CLEC12A+"
"cell1049","CD34+CD45RA-CLEC12A-"
"cell1050","CD34+CD45RA-CLEC12A-"
"cell1051","CD34+CD45RA-CLEC12A-"
"cell1052","CD34+CD45RA+CLEC12A+"
"cell1054","CD34+CD45RA-CLEC12A-"
"cell1055","CD34+CD45RA-CLEC12A-"
"cell1056","CD34+CD45RA-CLEC12A-"
"cell1057","CD34+CD45RA-CLEC12A-"
"cell1058","CD34+CD45RA+CLEC12A-"
"cell1059","CD34+CD45RA-CLEC12A-"
"cell1060","CD34+CD45RA+CLEC12A+"
"cell1061","CD34+CD45RA-CLEC12A-"
"cell1062","CD34+CD45RA-CLEC12A+"
"cell1063","CD34+CD45RA+CLEC12A-"
"cell1064","CD34+CD45RA-CLEC12A-"
"cell1065","CD34+CD45RA-CLEC12A-"
"cell1066","CD34+CD45RA-CLEC12A-"
"cell1067","CD34+CD45RA+CLEC12A+"
"cell1068","CD34+CD45RA+CLEC12A-"
"cell1069","CD34+CD45RA+CLEC12A-"
"cell1070","CD34+CD45RA-CLEC12A-"
"cell1071","CD34+CD45RA-CLEC12A-"
"cell1072","CD34+CD45RA-CLEC12A-"
"cell1074","CD34+CD45RA-CLEC12A+"
"cell1075","CD34+CD45RA-CLEC12A-"
"cell1076","CD34+CD45RA-CLEC12A+"
"cell1077","CD34+CD45RA-CLEC12A-"
"cell1078","CD34+CD45RA-CLEC12A-"
"cell1079","CD34+CD45RA-CLEC12A-"
"cell1080","CD34+CD45RA-CLEC12A-"
"cell1081","CD34+CD45RA-CLEC12A-"
"cell1082","CD34+CD45RA-CLEC12A-"
"cell1083","CD34+CD45RA-CLEC12A-"
"cell1084","CD34+CD45RA-CLEC12A-"
"cell1085","CD34+CD45RA-CLEC12A-"
"cell1086","CD34+CD45RA-CLEC12A-"
"cell1087","CD34+CD45RA-CLEC12A+"
"cell1088","CD34+CD45RA-CLEC12A-"
"cell1089","CD34+CD45RA-CLEC12A+"
"cell1090","CD34+CD45RA-CLEC12A-"
"cell1091","CD34+CD45RA-CLEC12A-"
"cell1092","CD34+CD45RA-CLEC12A-"
"cell1093","CD34+CD45RA-CLEC12A-"
"cell1094","CD34+CD45RA+CLEC12A-"
"cell1095","CD34+CD45RA-CLEC12A+"
"cell1096","CD34+CD45RA-CLEC12A+"
"cell1097","CD34+CD45RA-CLEC12A-"
"cell1098","CD34+CD45RA-CLEC12A-"
"cell1099","CD34+CD45RA-CLEC12A-"
"cell1100","CD34+CD45RA+CLEC12A-"
"cell1101","CD34+CD45RA-CLEC12A-"
"cell1102","CD34+CD45RA+CLEC12A-"
"cell1103","CD34+CD45RA+CLEC12A-"
"cell1104","CD34+CD45RA-CLEC12A-"
"cell1105","CD34+CD45RA+CLEC12A-"
"cell1106","CD34+CD45RA-CLEC12A+"
"cell1107","CD34+CD45RA-CLEC12A+"
"cell1109","CD34+CD45RA+CLEC12A-"
"cell1110","CD34+CD45RA-CLEC12A-"
"cell1111","CD34+CD45RA-CLEC12A-"
"cell1112","CD34+CD45RA-CLEC12A-"
"cell1113","CD34+CD45RA+CLEC12A-"
"cell1114","CD34+CD45RA-CLEC12A-"
"cell1115","CD34+CD45RA-CLEC12A-"
"cell1116","CD34+CD45RA-CLEC12A-"
"cell1117","CD34+CD45RA-CLEC12A-"
"cell1118","CD34+CD45RA+CLEC12A-"
"cell1119","CD34+CD45RA-CLEC12A-"
"cell1120","CD34+CD45RA-CLEC12A-"
"cell1121","CD34+CD45RA-CLEC12A-"
"cell1122","CD34+CD45RA-CLEC12A-"
"cell1123","CD34+CD45RA-CLEC12A-"
"cell1124","CD34+CD45RA+CLEC12A-"
"cell1125","CD34+CD45RA-CLEC12A-"
"cell1126","CD34+CD45RA-CLEC12A-"
"cell1127","CD34+CD45RA-CLEC12A-"
"cell1128","CD34+CD45RA-CLEC12A-"
"cell1129","CD34+CD45RA-CLEC12A-"
"cell1130","CD34+CD45RA+CLEC12A-"
"cell1131","CD34+CD45RA-CLEC12A-"
"cell1132","CD34+CD45RA-CLEC12A-"
"cell1134","CD34+CD45RA+CLEC12A-"
"cell1135","CD34+CD45RA-CLEC12A-"
"cell1136","CD34+CD45RA-CLEC12A-"
"cell1137","CD34+CD45RA-CLEC12A-"
"cell1138","CD34+CD45RA-CLEC12A-"
"cell1139","CD34+CD45RA+CLEC12A-"
"cell1140","CD34+CD45RA+CLEC12A-"
"cell1141","CD34+CD45RA-CLEC12A+"
"cell1142","CD34+CD45RA-CLEC12A-"
"cell1143","CD34+CD45RA-CLEC12A-"
"cell1144","CD34+CD45RA+CLEC12A-"
"cell1145","CD34+CD45RA-CLEC12A+"
"cell1146","CD34+CD45RA+CLEC12A-"
"cell1147","CD34+CD45RA-CLEC12A-"
"cell1148","CD34+CD45RA+CLEC12A-"
"cell1149","CD34+CD45RA-CLEC12A+"
"cell1150","CD34+CD45RA-CLEC12A-"
"cell1151","CD34+CD45RA-CLEC12A-"
"cell1152","CD34+CD45RA-CLEC12A-"
"cell1153","CD34+CD45RA-CLEC12A-"
"cell1154","CD34+CD45RA-CLEC12A-"
"cell1155","CD34+CD45RA-CLEC12A+"
"cell1156","CD34+CD45RA-CLEC12A-"
"cell1157","CD34+CD45RA-CLEC12A-"
"cell1158","CD34+CD45RA-CLEC12A+"
"cell1159","CD34+CD45RA+CLEC12A-"
"cell1160","CD34+CD45RA-CLEC12A-"
"cell1161","CD34+CD45RA-CLEC12A-"
"cell1162","CD34+CD45RA-CLEC12A+"
"cell1163","CD34+CD45RA-CLEC12A+"
"cell1164","CD34+CD45RA-CLEC12A-"
"cell1165","CD34+CD45RA+CLEC12A-"
"cell1166","CD34+CD45RA-CLEC12A-"
"cell1167","CD34+CD45RA+CLEC12A-"
"cell1168","CD34+CD45RA-CLEC12A-"
"cell1169","CD34+CD45RA-CLEC12A-"
"cell1170","CD34+CD45RA-CLEC12A-"
"cell1171","CD34+CD45RA-CLEC12A-"
"cell1172","CD34+CD45RA-CLEC12A-"
"cell1173","CD34+CD45RA-CLEC12A-"
"cell1174","CD34+CD45RA-CLEC12A-"
"cell1175","CD34+CD45RA-CLEC12A-"
"cell1176","CD34+CD45RA+CLEC12A-"
"cell1177","CD34+CD45RA+CLEC12A-"
"cell1178","CD34+CD45RA-CLEC12A+"
"cell1179","CD34+CD45RA+CLEC12A-"
"cell1180","CD34+CD45RA-CLEC12A-"
"cell1181","CD34+CD45RA-CLEC12A-"
"cell1182","CD34+CD45RA-CLEC12A-"
"cell1183","CD34+CD45RA-CLEC12A-"
"cell1184","CD34+CD45RA-CLEC12A-"
"cell1185","CD34+CD45RA-CLEC12A-"
"cell1186","CD34+CD45RA+CLEC12A+"
"cell1188","CD34+CD45RA-CLEC12A-"
"cell1189","CD34+CD45RA-CLEC12A+"
"cell1190","CD34+CD45RA+CLEC12A-"
"cell1191","CD34+CD45RA+CLEC12A-"
