"","x"
"cell134","CD34+CD45RA+CLEC12A-"
"cell135","CD34+CD45RA-CLEC12A-"
"cell136","CD34+CD45RA-CLEC12A+"
"cell137","CD34+CD45RA-CLEC12A-"
"cell138","CD34+CD45RA-CLEC12A-"
"cell139","CD34+CD45RA-CLEC12A-"
"cell140","CD34+CD45RA-CLEC12A-"
"cell141","CD34+CD45RA-CLEC12A-"
"cell142","CD34+CD45RA-CLEC12A-"
"cell143","CD34+CD45RA-CLEC12A-"
"cell144","CD34+CD45RA-CLEC12A-"
"cell145","CD34+CD45RA-CLEC12A-"
"cell146","CD34+CD45RA-CLEC12A-"
"cell147","CD34+CD45RA-CLEC12A-"
"cell148","CD34+CD45RA-CLEC12A-"
"cell149","CD34+CD45RA-CLEC12A-"
"cell150","CD34+CD45RA-CLEC12A-"
"cell151","CD34+CD45RA+CLEC12A-"
"cell152","CD34+CD45RA-CLEC12A-"
"cell153","CD34+CD45RA-CLEC12A-"
"cell154","CD34+CD45RA+CLEC12A-"
"cell155","CD34+CD45RA-CLEC12A-"
"cell156","CD34+CD45RA-CLEC12A-"
"cell157","CD34+CD45RA-CLEC12A-"
"cell158","CD34+CD45RA-CLEC12A+"
"cell159","CD34+CD45RA-CLEC12A-"
"cell160","CD34+CD45RA-CLEC12A-"
"cell161","CD34+CD45RA-CLEC12A-"
"cell162","CD34+CD45RA-CLEC12A-"
"cell163","CD34+CD45RA-CLEC12A+"
"cell164","CD34+CD45RA-CLEC12A-"
"cell165","CD34+CD45RA+CLEC12A-"
"cell166","CD34+CD45RA-CLEC12A-"
"cell167","CD34+CD45RA-CLEC12A-"
"cell168","CD34+CD45RA-CLEC12A+"
"cell169","CD34+CD45RA-CLEC12A-"
"cell170","CD34+CD45RA-CLEC12A-"
"cell171","CD34+CD45RA-CLEC12A-"
"cell172","CD34+CD45RA+CLEC12A-"
"cell173","CD34+CD45RA-CLEC12A+"
"cell175","CD34+CD45RA-CLEC12A-"
"cell176","CD34+CD45RA-CLEC12A-"
"cell177","CD34+CD45RA-CLEC12A-"
"cell178","CD34+CD45RA-CLEC12A-"
"cell179","CD34+CD45RA-CLEC12A-"
"cell180","CD34+CD45RA-CLEC12A-"
"cell181","CD34+CD45RA-CLEC12A-"
"cell182","CD34+CD45RA-CLEC12A-"
"cell183","CD34+CD45RA-CLEC12A-"
"cell184","CD34+CD45RA-CLEC12A-"
"cell185","CD34+CD45RA+CLEC12A-"
"cell186","CD34+CD45RA-CLEC12A-"
"cell187","CD34+CD45RA+CLEC12A-"
"cell188","CD34+CD45RA-CLEC12A-"
"cell189","CD34+CD45RA+CLEC12A-"
"cell190","CD34+CD45RA-CLEC12A-"
"cell191","CD34+CD45RA+CLEC12A-"
"cell192","CD34+CD45RA-CLEC12A-"
"cell193","CD34+CD45RA-CLEC12A+"
"cell194","CD34+CD45RA-CLEC12A-"
"cell195","CD34+CD45RA+CLEC12A-"
"cell196","CD34+CD45RA-CLEC12A-"
