"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"33","CD74",-1.38862351596809,2.27285348672262,-44.7092989113737,0,0,840.112129955153
"95","CD99",-1.01494870309793,1.45801421734393,-43.25053647132,0,0,792.735652313577
"99","CD84",0.998458081682304,0.495596859765642,53.7306654788825,0,0,1147.23572290045
"107","CD48",-0.968466609455835,0.894108905508708,-44.6723780824982,0,0,838.903908753274
"126","CD63",0.913578831817848,2.25702424376953,37.4665970510807,1.28901112905205e-273,2.75901148154584e-271,613.067156722224
"142","CD36",0.874466823745056,0.324659626840718,36.7772359250536,9.77452709961311e-265,1.87307574017246e-262,592.63164762274
"143","CD34",-0.86773033937861,1.31501799406549,-35.2486641198731,2.09425719645051e-245,3.37673601970419e-243,548.146655873708
"177","CD44",-0.812688487554926,1.23098357957769,-32.7216798214069,1.33458291404799e-214,1.73216557578264e-212,477.265454766391
"195","CD55",0.771663643941574,0.568610369080378,39.3354854161035,3.60716054070826e-298,9.10521951382505e-296,669.57477624521
"275","CD52",-0.660198318097383,1.55124271047286,-23.3375817119786,6.62578083090813e-115,3.58742905609569e-113,247.960444662164
"318","CD53",-0.622452284893551,0.891832951201128,-28.8440143795816,2.10200756420937e-170,1.90434601132741e-168,375.586142470242
"529","CD164",-0.492113986552588,1.87070697816122,-20.1944069459738,1.61318487649649e-87,6.56776192042802e-86,185.021862339463
"552","CD200",-0.479388025444406,0.424784289972,-28.9413536837299,1.82802564459949e-171,1.68109463864287e-169,378.025914711248
"659","BICD1",-0.435105138219069,1.01908108716869,-19.4699524227997,1.10310639433395e-81,4.15378571389062e-80,171.617881767999
"839","CD69",0.380257828760727,0.680752387268184,16.0634344453908,9.06089404143264e-57,2.36715048401482e-55,114.420201261955
"847","CD37",-0.378425074519545,1.43756656009638,-16.0768853071667,7.36531991856986e-57,1.9269340553222e-55,114.626631387472
"970","CD9",0.345364621134574,0.111799418395418,24.9714725797275,2.04937523567023e-130,1.29326177587528e-128,283.618249983337
"992","CD226",0.339086696931518,0.130490130102508,27.6984021510942,4.04286445036084e-158,3.30296611043878e-156,347.331160164571
"1017","CD82",0.333542405718747,0.567582670080709,17.0166544010961,2.59023208030459e-63,7.51228877743489e-62,129.436189066593
"1041","CD302",-0.326297915398325,0.583885502458743,-18.3796546282719,2.98459934440462e-73,1.00588693006035e-71,152.252096454939
"1048","SCD",0.324246262382294,0.631400209926406,16.2045278823744,1.0231726321001e-57,2.72159458630056e-56,116.593376061831
"1093","C2CD2",-0.315901824402491,0.401877751932163,-19.4963761363249,6.8080869742391e-82,2.56624913845649e-80,172.099312702615
"1094","CD151",0.31578894926004,0.231988874073368,24.0371622563492,1.92226118032547e-121,1.1045004938947e-119,262.98948333861
"1109","CD79B",-0.313490225467847,0.337639161912479,-21.1465980043843,1.82866987365064e-95,8.10304431543426e-94,203.277978310177
"1342","CD109",-0.274504080227969,0.89861387042377,-12.2894857307554,2.91709928743809e-34,5.01732852535346e-33,62.8403910773208
"1457","CD33",-0.260283982723818,0.479274440880258,-15.4198085418526,1.52409191583246e-52,3.71393396880052e-51,104.726869980908
"1485","CD244",-0.256432627149047,0.269031797536068,-19.1138732800831,6.96614694580657e-79,2.53952135820186e-77,165.185788227458
"1488","CD81",-0.255901266923787,1.35175696096476,-11.8251730760729,7.06745911302533e-32,1.14458438493735e-30,57.3863164862902
"1715","CDIP1",0.228229066769496,0.229846094529608,18.6157977117732,4.83685769753492e-75,1.66385177243868e-73,156.363277118152
"1772","CD46",0.222054004088986,0.806287279162427,11.3454073713859,1.6692090511948e-29,2.52353244455932e-28,51.9605506653226
"2248","CD2BP2",0.184820991444565,0.427920100171899,11.7055466118309,2.81602922335024e-31,4.47544444654112e-30,56.0134286215445
"2273","CD59",-0.183344378345021,0.712754645048699,-9.5156709566305,2.63902612890712e-21,3.12289024714288e-20,33.2477115421465
"2627","HACD4",0.161194987037609,0.533106562108142,9.25743456317824,2.94393264124479e-20,3.34422342030417e-19,30.8618390829354
"2725","CD40",0.155811834290447,0.0601625498061845,21.0391222763844,1.4945241914149e-94,6.54319137918384e-93,201.181480517465
"2903","CD96",-0.146882774767102,0.187459284243484,-10.0388621148547,1.64340637260909e-23,2.07916753003337e-22,38.2759012988022
"3177","CD68",0.134286850727852,0.0794466086618938,15.8216679835599,3.65481248570661e-55,9.30896254623158e-54,110.736655556974
"3569","CD320",-0.118378515457685,0.360870215029047,-7.78474082514424,8.30046631064372e-15,7.50507330622211e-14,18.4765592287904
"3635","ECD",0.1160293228647,0.39464553007134,7.66333001601766,2.13065535157192e-14,1.88549604745851e-13,17.5487484856578
"3743","HACD1",0.112176407807316,0.693998025139715,5.83040240442221,5.84655161326188e-09,3.85705904104178e-08,5.2841226230296
"4186","NELFCD",0.0987662841194171,0.587137168512842,5.71253148934204,1.17193236752814e-08,7.59587331041213e-08,4.60783788800451
"4258","CD47",-0.096694192856986,1.26407497591726,-4.39951507657403,1.10558253775239e-05,5.58529005718084e-05,-2.00054705842692
"4411","CDYL",0.093257397491167,0.890096833211778,4.48175170989082,7.5546348238706e-06,3.87753736065752e-05,-1.6366125705979
"4774","CDADC1",-0.0843876409296821,0.271335211193921,-6.5391255557771,6.75158972546376e-11,5.03186592428627e-10,9.63760008968242
"4951","CD93",-0.0805981653007173,0.130323541023882,-8.44024829838278,4.0130260344084e-17,4.03740422994453e-16,23.7318641063597
"4989","HACD3",-0.0795409908817761,1.15369477087641,-3.61134738851317,0.000307346766758469,0.00131862607081546,-5.14873205322551
"5131","CD300LF",-0.0765175150240942,0.154243801445027,-7.3568776008187,2.16159427963741e-13,1.82590612114029e-12,15.2703912621828
"5330","CDYL2",-0.0730662684958895,0.215763880293768,-5.83809228466362,5.58465976081014e-09,3.68893939551366e-08,5.32871737829697
"5347","CD4",-0.0727662153457622,0.102927487187125,-7.94175000903572,2.40222260370466e-15,2.22591770932138e-14,19.6975537994159
"5363","C2CD5",-0.0725002199272874,0.494380444884884,-4.27451602269153,1.94816904648611e-05,9.62008299913767e-05,-2.54090633556763
"5422","CDS2",0.0713958388109605,0.311404063231317,5.07671004903254,3.96771029512377e-07,2.28480435040631e-06,1.19545280192283
"5548","CD58",0.0692965595245055,0.584724001761767,3.85952094306759,0.000114920997639527,0.000518263114170075,-4.22389373125959
"5674","GCDH",-0.0671388436438213,0.421324446912893,-4.37188175776881,1.2546885839963e-05,6.29856766737737e-05,-2.12133493373173
"6125","C2CD3",-0.0599522309485082,0.386167150726434,-3.94775061663394,7.98811377620846e-05,0.000367487370943949,-3.8803735197308
"6200","CD3EAP",-0.0585008238123322,0.194987473404287,-5.03557026768956,4.91744030628175e-07,2.81223801015966e-06,0.988376219285275
